Disease Name,Image URL,Pest Type,Origin,Legal Content,Secure any content
Fire blight,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/04/fire-blight-UGA1234046.jpg,,,,
                                                            Panama disease Tropical Race 4                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/tropical-race.jpg,PLANT PEST,,"All  Australians and international tourists have a role to keep out exotic pests and  diseases.,Panama disease Tropical Race 4 has a restricted distribution  in Australia. We need your help to keep it this way.,      Check  what you can and cannot bring into Australia, whether you are a:    ,Early detection and reporting of symptoms are the key  elements in controlling the disease. If you love Australian bananas, don’t take  a risk and report. ,Some items, by law, are subject to certain import conditions to be allowed into Australia. Please check the 
         Biosecurity Import Condition System (BICON).,Be  aware of any Panama  disease Tropical Race 4 biosecurity measures that may be in place for incoming goods. 
         Industry advice notices are reviewed regularly and  could change.","Containment  is critical.,      If you suspect a banana plant has Panama disease Tropical Race  4, do not remove, cut or destroy the affected plant as this may increase the  risk of spreading the disease.,      Instead, record the plant’s location, take photographs of  symptoms for identification of the disease, and report the find as soon as  possible."
Sudden oak death,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/03/sudden-oak-death-1427111.jpg,,,,
European canker,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/04/European-canker-5361962.jpg,,,,
Soybean cyst nematode,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/01/Soybean-cyst-nematode.jpg,,,,
                                                            Potato cyst nematode                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/potato-cyst-nematode.jpg,PLANT PEST,,"All Australians and international tourists have a role to keep out exotic pests and diseases.,Australia remains free of this exotic pest, except for Golden PCN in three quarantined areas in Victoria. We need your help to keep it this way., Check what you can and cannot bring into Australia, whether you are a:,Potato cyst nematodes will affect our potato industry. Let’s work together to keep it out.,Some items, by law, are subject to certain import conditions to be allowed into Australia. Please check the Biosecurity Import Condition System (BICON).,Be aware of any potato cyst nematode biosecurity measures that may be in place for incoming goods and conveyances. Industry advice notices are reviewed regularly and could change.","Remember the pest can spread easily via the movement of contaminated soil, so be careful not to increase the risk of spreading the pest. Take a photo, record the location and get it checked by an expert."
Tarnished plant bug,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/03/tarnished-plant-bug-1318094.jpg,,,,
                                                            Tramp ants                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/tramp-ants-1.jpg,PLANT PEST,"Origin: Varies, depending on the species","All Australians and international tourists have a role to  keep out exotic pests and diseases.,Australia remains free of many tramp ants, and most of the ones  that have been introduced are restricted in distribution and are under  eradication or management. We need your help to keep tramp ants out and to  control the species that are here.,  Check what you can and cannot bring into Australia, whether  you are a:,Hitchhiker pests can arrive in Australia on many pathways  such as goods, vessels or personal effects. Tramp ants have spread globally  with the movement of travellers and goods in recent decades.,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity Import  Condition System (BICON).,  Be aware of any tramp ant biosecurity measures that may be  in place for incoming goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment is critical. If you suspect you’ve seen a tramp  ant, take a photo and record the location."
Cephus cinctus,,,,,
Barley stripe rust,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/04/Barley-stripe-rust-1.jpg,,,,
Hylesia nigricans,,,,,
Golden apple snail,,,,,
                                                            Fruit flies                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/exotic-fruit-fly-1.jpg,PLANT PEST,Origin: Asia,"All Australians and international tourists have a role to  keep out exotic pests and diseases. Australia remains free of many exotic fruit  fly pests. We need your help to keep it this way.,Check what you can and cannot bring into Australia, whether  you are a:,As well as having production impacts, these pests will have  the potential to cause disruption to the export of Australian fruit and  vegetables due to import restrictions by importing countries. For this reason,  preventing the entry of exotic fruit flies into Australia is vital.,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,  Be aware of any exotic fruit fly biosecurity measures that may be in place for  incoming goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment is critical. Fruit fly adults are active fliers.  Try to locate the source of the infestation and secure the fruit by it sealing  in a plastic bag.,  Do not move infested fruit or vegetables from the orchard or  your yard."
                                                            Khapra beetle (Trogoderma granarium)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/khapra-beetle-1.jpg,PLANT PEST,Origin: India,"All Australians and international tourists have a role to  keep out exotic pests and diseases. Australia remains free of this exotic pest  and we need your help to keep it this way.,Check what you can and cannot bring into Australia, whether  you are a:,Hitchhiker pests can arrive in Australia on any goods,  conveyances or personal effects. Khapra beetle is one such tiny invader that  has spread globally.,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON) to ensure your commodity is permitted.,  Be aware of any Khapra beetle biosecurity measures that may be in place for incoming  goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.,Any trade of a good that comes from a known 
         khapra beetle country must be associated with a  phytosanitary certificate declaring the product is free from Khapra beetle.","Containment is critical. Khapra beetles do not fly, but can  be readily moved around in infested goods. Try to locate the source of the  infestation and secure it by sealing in a plastic bag or restricting access to  the area."
